timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.130,0,0.3743,0.6429,0.3765,0.9362,0.4307,1.0724,7.1,down,
0.232,1,0.3668,0.6436,0.3730,0.9584,0.4133,1.1031,4.6,down,
0.324,2,0.3649,0.6444,0.3620,0.9504,0.4121,1.1026,6.4,down,
0.392,3,0.3638,0.6444,0.3615,0.9451,0.4105,1.1031,6.3,down,
0.454,4,0.3637,0.6446,0.3591,0.9257,0.4093,1.1060,6.6,down,
0.524,5,0.3635,0.6492,0.3572,0.9263,0.4078,1.1135,6.7,down,
0.614,6,0.3640,0.6500,0.3568,0.9245,0.4078,1.1118,6.9,down,
0.683,7,0.3645,0.6515,0.3571,0.9244,0.4083,1.1155,7.0,down,
0.775,8,0.3650,0.6549,0.3575,0.9247,0.4088,1.1124,7.1,down,
0.838,9,0.3667,0.6571,0.3578,0.9230,0.4091,1.1150,7.2,down,
0.921,10,0.3687,0.6584,0.3597,0.9297,0.4093,1.1183,7.0,down,
0.994,11,0.3727,0.6578,0.3669,0.9261,0.4106,1.1172,6.0,down,
1.054,12,0.3758,0.6577,0.3678,0.9257,0.4131,1.1164,6.4,down,
1.123,13,0.3781,0.6561,0.3747,0.9243,0.4144,1.1158,5.3,down,
1.189,14,0.3793,0.6556,0.3766,0.9339,0.4186,1.1253,5.3,down,
1.256,15,0.3796,0.6556,0.3783,0.9422,0.4216,1.1303,5.3,down,
1.322,16,0.3808,0.6536,0.3777,0.9400,0.4229,1.1295,5.7,down,
1.386,17,0.3820,0.6474,0.3802,0.9312,0.4243,1.1260,5.4,down,
1.457,18,0.3826,0.6471,0.3798,0.9314,0.4262,1.1251,5.8,down,
1.522,19,0.3828,0.6431,0.3800,0.9318,0.4272,1.1186,5.9,down,
1.586,20,0.3828,0.6375,0.3801,0.9329,0.4278,1.1149,5.9,down,
1.656,21,0.3831,0.6284,0.3801,0.9285,0.4277,1.1105,5.9,down,
1.722,22,0.3837,0.6126,0.3817,0.9148,0.4275,1.0953,5.6,down,
1.789,23,0.3836,0.6045,0.3820,0.9073,0.4294,1.0839,5.8,down,
1.852,24,0.3837,0.5958,0.3816,0.9036,0.4308,1.0786,6.0,down,
1.924,25,0.3837,0.5894,0.3753,0.8670,0.4307,1.0777,7.2,down,
1.989,26,0.3836,0.5844,0.3608,0.8609,0.4297,1.0788,10.0,down,
2.063,27,0.3832,0.5802,0.3394,0.8540,0.4222,1.0798,13.6,down,
2.122,28,0.3821,0.5806,0.3124,0.8613,0.4180,1.0799,18.1,down,
2.192,29,0.3822,0.5775,0.3079,0.8627,0.4164,1.0793,18.5,down,
2.256,30,0.3847,0.5724,0.3095,0.8371,0.4156,1.0710,19.4,down,
2.326,31,0.3886,0.5668,0.3143,0.8149,0.4173,1.0468,20.1,down,
