timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.097,0,0.3652,0.7252,0.1986,1.0546,0.3770,1.5349,27.7,down,
0.181,1,0.3633,0.7243,0.1695,1.0546,0.3678,1.5158,30.7,down,
0.268,2,0.3603,0.7243,0.1715,1.0674,0.3653,1.5145,29.2,down,
0.346,3,0.3594,0.7221,0.1722,1.0651,0.3625,1.5139,28.9,down,
0.413,4,0.3590,0.7204,0.1720,1.0649,0.3589,1.5085,28.5,down,
0.479,5,0.3597,0.7194,0.1725,1.0575,0.3593,1.5049,28.9,down,
0.548,6,0.3597,0.7215,0.1722,1.0517,0.3589,1.5156,29.5,down,
0.615,7,0.3598,0.7214,0.1721,1.0489,0.3591,1.5161,29.8,down,
0.681,8,0.3599,0.7216,0.1714,1.0476,0.3605,1.5177,30.1,down,
0.746,9,0.3579,0.7239,0.1701,1.0510,0.3558,1.5177,29.7,down,
0.814,10,0.3587,0.7238,0.1701,1.0487,0.3567,1.5164,30.0,down,
0.882,11,0.3588,0.7239,0.1752,1.0462,0.3571,1.5055,29.6,down,
0.950,12,0.3588,0.7256,0.1746,1.0458,0.3562,1.5070,29.7,down,
1.015,13,0.3588,0.7253,0.1754,1.0452,0.3564,1.4984,29.6,down,
1.081,14,0.3605,0.7252,0.1800,1.0266,0.3565,1.4991,30.6,down,
1.149,15,0.3609,0.7249,0.1847,1.0226,0.3572,1.4941,30.3,down,
1.213,16,0.3593,0.7226,0.1452,1.0228,0.3606,1.4933,35.6,down,
1.281,17,0.3605,0.7229,0.1128,1.0235,0.3556,1.4937,39.1,down,
1.347,18,0.3516,0.7233,0.0852,0.9762,0.3494,1.4925,46.3,down,
1.413,19,0.3514,0.7231,0.0932,0.8402,0.3492,1.4892,65.4,up,
1.480,20,0.3552,0.7027,0.0965,0.7153,0.3494,1.4793,86.8,up,
1.549,21,0.3554,0.6765,0.1075,0.6933,0.3503,1.4785,85.8,up,
1.613,22,0.3556,0.6605,0.1300,0.6674,0.3532,1.4610,88.1,up,
1.684,23,0.3529,0.6499,0.1341,0.6855,0.3489,1.4629,80.5,up,
1.746,24,0.3504,0.6155,0.1375,0.6482,0.3476,1.4505,81.1,up,
1.815,25,0.3599,0.6556,0.1379,0.6397,0.3478,1.4730,93.2,up,
1.881,26,0.3602,0.6909,0.1199,0.6745,0.3480,1.4792,93.0,up,
1.946,27,0.3606,0.7109,0.1017,0.6867,0.3481,1.4922,94.4,up,
1.992,28,0.3600,0.7180,0.0781,0.7191,0.3481,1.4972,88.9,up,
2.074,29,0.3559,0.7168,0.0512,0.7911,0.3465,1.4980,75.6,up,
2.127,30,0.3548,0.7205,0.0531,0.8378,0.3435,1.5084,67.9,up,
2.200,31,0.3546,0.7227,0.0643,0.8575,0.3437,1.5160,64.3,up,
2.271,32,0.3530,0.7275,0.0602,0.8552,0.3434,1.5254,65.7,up,
2.334,33,0.3517,0.7287,0.0465,0.8547,0.3426,1.5261,66.9,up,
2.403,34,0.3493,0.7317,0.0255,0.8759,0.3426,1.5272,65.5,up,
2.471,35,0.3487,0.7319,0.0213,0.8870,0.3427,1.5334,64.2,up,
2.548,36,0.3481,0.7317,0.0294,0.8781,0.3428,1.5342,64.9,up,
2.604,37,0.3469,0.7314,0.0317,0.8726,0.3383,1.5287,65.3,up,
