timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.010,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.108,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.130,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.152,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.172,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.192,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.212,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.232,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.252,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.274,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.295,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.315,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.335,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.355,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.375,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.405,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.425,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.445,17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.466,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.486,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.506,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.527,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.547,22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.568,23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.588,24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.609,25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.629,26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.649,27,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.670,28,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.691,29,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.711,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.732,31,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.754,32,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.774,33,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.795,34,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.816,35,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
