timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.156,0,0.4082,0.5479,0.3465,0.8923,0.4435,1.0903,13.9,down,
0.241,1,0.4093,0.5459,0.3467,0.8851,0.4450,1.0988,14.1,down,
0.308,2,0.4092,0.5453,0.3467,0.8831,0.4447,1.1173,14.0,down,
0.375,3,0.4084,0.5490,0.3385,0.8922,0.4436,1.1569,14.8,down,
0.442,4,0.4084,0.5479,0.3389,0.8886,0.4440,1.1740,14.8,down,
0.510,5,0.4076,0.5506,0.3368,0.8907,0.4453,1.2134,15.0,down,
0.576,6,0.4082,0.5495,0.3416,0.8760,0.4458,1.1971,14.9,down,
0.643,7,0.4085,0.5511,0.3439,0.8786,0.4458,1.1950,14.5,down,
0.708,8,0.4087,0.5500,0.3442,0.8754,0.4458,1.2008,14.5,down,
0.778,9,0.4094,0.5498,0.3447,0.8758,0.4443,1.2045,14.3,down,
0.844,10,0.4100,0.5500,0.3405,0.8794,0.4435,1.2148,14.8,down,
0.909,11,0.4099,0.5499,0.3405,0.8811,0.4421,1.2088,14.6,down,
0.975,12,0.4089,0.5529,0.3393,0.8916,0.4417,1.2228,14.4,down,
1.040,13,0.4089,0.5529,0.3393,0.8909,0.4390,1.2173,14.2,down,
1.109,14,0.4083,0.5539,0.3388,0.8915,0.4302,1.2133,13.5,down,
1.180,15,0.4092,0.5602,0.3414,0.8917,0.4313,1.2126,13.5,down,
1.245,16,0.4095,0.5734,0.3478,0.9029,0.4376,1.2319,13.1,down,
1.311,17,0.4160,0.5834,0.3631,0.9089,0.4621,1.2322,13.3,down,
1.380,18,0.4292,0.5910,0.3840,0.9102,0.4808,1.2301,12.7,down,
1.445,19,0.4432,0.6020,0.4003,0.9108,0.4971,1.2278,12.8,down,
1.529,20,0.4562,0.6089,0.4109,0.9138,0.5077,1.2262,13.2,down,
1.599,21,0.4697,0.6099,0.4236,0.9142,0.5260,1.2254,13.8,down,
1.655,22,0.4775,0.6175,0.4293,0.9254,0.5447,1.2295,15.2,down,
1.726,23,0.4860,0.6208,0.4392,0.9347,0.5678,1.2308,16.1,down,
1.799,24,0.4924,0.6217,0.4509,0.9398,0.5707,1.2406,14.6,down,
1.856,25,0.4949,0.6270,0.4550,0.9429,0.5712,1.2422,14.3,down,
1.926,26,0.4986,0.6283,0.4640,0.9436,0.5733,1.2461,13.2,down,
1.995,27,0.4987,0.6275,0.4679,0.9425,0.5648,1.2361,11.8,down,
2.069,28,0.4986,0.6278,0.4656,0.9417,0.5627,1.2249,12.1,down,
2.122,29,0.4975,0.6275,0.4677,0.9373,0.5602,1.1919,11.8,down,
