timestamp,frame_id,shoulder_x,shoulder_y,elbow_x,elbow_y,hip_x,hip_y,angle_deg,rep_state,feedback_msg
0.014,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.022,1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.031,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.039,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.047,4,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.056,5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.064,6,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.073,7,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.082,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.092,9,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.101,10,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.110,11,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.119,12,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.128,13,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.136,14,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.145,15,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.153,16,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.162,17,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.170,18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.179,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.187,20,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.196,21,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.205,22,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.213,23,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.222,24,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.231,25,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
0.239,26,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,down,
